rank,symbol,name,last_price,indices
223,ICICIAMC,ICICI Prudential Asset Management Company Ltd.,3097.9,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
224,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,,Nifty 500|Nifty Midcap 150
225,IDBI,IDBI Bank Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
226,IDFCFIRSTB,IDFC First Bank Ltd.,85.69,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
227,IFCI,IFCI Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
228,IIFL,IIFL Finance Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
229,IRB,IRB Infrastructure Developers Ltd.,,Nifty 500|Nifty Smallcap 250
230,IRCON,IRCON International Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
231,ITCHOTELS,ITC Hotels Ltd.,,Nifty 500|Nifty Midcap 150
232,ITC,ITC Ltd.,278.2,Nifty 100|Nifty 200|Nifty 50|Nifty 500
233,ITI,ITI Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
234,INDGN,Indegene Ltd.,,Nifty 500|Nifty Smallcap 250
235,INDIACEM,India Cements Ltd.,,Nifty 500|Nifty Smallcap 250
236,INDIAMART,Indiamart Intermesh Ltd.,,Nifty 500|Nifty Smallcap 250
237,INDIANB,Indian Bank,894.95,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
238,IEX,Indian Energy Exchange Ltd.,,Nifty 500|Nifty Smallcap 250
239,INDHOTEL,Indian Hotels Co. Ltd.,720.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
240,IOC,Indian Oil Corporation Ltd.,139.4,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
241,IOB,Indian Overseas Bank,,Nifty 500|Nifty Smallcap 250
242,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,497.5,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
243,IRFC,Indian Railway Finance Corporation Ltd.,87.57,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
244,IREDA,Indian Renewable Energy Development Agency Ltd.,116.25,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
245,IGL,Indraprastha Gas Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
246,INDUSTOWER,Indus Towers Ltd.,384.35,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
247,INDUSINDBK,IndusInd Bank Ltd.,1020.8,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
248,NAUKRI,Info Edge (India) Ltd.,1343.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
249,INFY,Infosys Ltd.,1169.2,Nifty 100|Nifty 200|Nifty 50|Nifty 500
250,INOXWIND,Inox Wind Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
251,INTELLECT,Intellect Design Arena Ltd.,,Nifty 500|Nifty Smallcap 250
252,INDIGO,InterGlobe Aviation Ltd.,5310.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
253,IGIL,International Gemological Institute Ltd.,,Nifty 500|Nifty Smallcap 250
